V_drain (V),I_drain (A/cm),Max_T (K)
0.0,-5.831866867200036e-16,300.0
0.1,0.044504487130323345,300.01221009576784
0.2,0.17079211860767426,300.05184454425
0.30000000000000004,0.31573349292913483,300.10904367163266
0.4,0.4597725161715406,300.1818837138991
0.5,0.6025952238524512,300.27208846211164
0.6,0.7445579972924068,300.3807748084891
0.7,0.8858807131838468,300.5085654893599
0.7999999999999999,1.026690106101332,300.65579384297695
0.8999999999999999,1.1670559175935975,300.82262143748335
0.9999999999999999,1.3070152428973782,301.00910631294954
1.0999999999999999,1.4466728120980532,301.2153105620847
1.2,1.5895814592123914,301.4442364552494
1.3,1.8505468420713058,301.801903681726
1.4000000000000001,3.0224801068298595,303.8702898574478
1.5000000000000002,5.021471527390855,309.40426886355203
1.6000000000000003,7.14797153512427,318.14838860845373
1.7000000000000004,9.182897305357738,329.6603464518848
1.8000000000000005,11.050720081836825,343.4236260697655
1.9000000000000006,12.728863877419021,358.943880443308
2.0000000000000004,14.220593360598372,375.8024150478479
