WF,Top_Gamma=1.0,Top_Gamma=10.0,Top_Gamma=100.0,Edge_Gamma=1.0,Edge_Gamma=10.0,Edge_Gamma=100.0
4.33,3498085167.8588667,3498085167.8588667,3498085167.8588667,3459338503.5966225,3459338503.5966225,3459338503.5966225
4.6,5935840.151707866,5935840.151707866,5935840.151707866,5404407.244435185,5404407.244435185,5404407.244435185
4.8,2621.8728739060202,2621.8728739060202,2621.8728739060202,2386.954789091037,2386.954789091037,2386.954789091037
5.0,2.5656351630170895,2.5656351630170895,2.5656351630170895,2.2469644399488997,2.2469644399488997,2.2469644399488997
5.2,0.49183059615033836,0.49183059615033836,0.49183059615033836,0.40657764943680236,0.40657764943680236,0.40657764943680236
