V_drain (V),I_drain (A/cm),Max_T (K)
0.0,-1.561380312552523e-26,300.0
0.1,2.846842371215709e-11,300.0000000000027
0.2,5.079489123483833e-11,300.00000000000756
0.30000000000000004,7.127156902469469e-11,300.0000000000145
0.4,9.126665465895279e-11,300.0000000000236
0.5,1.1097403196528013e-10,300.0000000000347
0.6,1.2921979782366155e-10,300.00000000004763
0.7,1.5628441608620144e-10,300.00000000012017
0.7999999999999999,2.2963168031592868e-10,300.00000000027336
0.8999999999999999,3.107572330614452e-10,300.00000000049073
0.9999999999999999,3.9068177074259267e-10,300.0000000007649
1.0999999999999999,4.725969290634542e-10,300.00000000109713
1.2,5.560356868045526e-10,300.0000000014876
1.3,6.404934275180931e-10,300.00000000193614
1.4000000000000001,7.256661540457733e-10,300.0000000024428
1.5000000000000002,8.113655937331545e-10,300.00000000300764
1.6000000000000003,8.97468115250335e-10,300.0000000036307
1.7000000000000004,9.838884858658757e-10,300.00000000431197
1.8000000000000005,1.07056560518106e-09,300.000000005068
1.9000000000000006,1.1574542555700883e-09,300.0000000060116
2.0000000000000004,1.2445200781626516e-09,300.00000000703733
