V_drain (V),I_drain (A/cm),Max_T (K)
0.0,-9.265515867482382e-27,300.0
0.1,2.8587068410689593e-11,300.00000000000244
0.2,5.1301189966182345e-11,300.0000000000072
0.30000000000000004,7.222300467877353e-11,300.00000000001415
0.4,9.267967085395495e-11,300.0000000000232
0.5,1.1286909418704428e-10,300.0000000000344
0.6,1.3177101668119527e-10,300.0000000000462
0.7,1.6339356556936661e-10,300.0000000000977
0.7999999999999999,3.7503407027966256e-10,300.00000000024266
0.8999999999999999,9.400557693508881e-10,300.00000000049744
0.9999999999999999,1.3635085960941346e-09,300.00000000079245
1.0999999999999999,1.7576576832656329e-09,300.00000000114665
1.2,2.1570080237951456e-09,300.00000000156695
1.3,2.5611286581629485e-09,300.0000000020544
1.4000000000000001,2.968640718765651e-09,300.00000000260974
1.5000000000000002,3.3786471748765198e-09,300.0000000032334
1.6000000000000003,3.790559021987245e-09,300.00000000392606
1.7000000000000004,4.203971118808125e-09,300.0000000046879
1.8000000000000005,4.618593628199393e-09,300.0000000055192
1.9000000000000006,5.034212438534337e-09,300.0000000064203
2.0000000000000004,5.45066511203361e-09,300.00000000739135
