V_drain (V),I_drain (A/cm),Max_T (K)
0.0,2.5887193125000362e-20,300.0
0.1,4.189438378013035e-05,300.00000481563535
0.2,9.384206436433323e-05,300.00001746698615
0.30000000000000004,0.00015144094111601455,300.0000389763918
0.4,0.0002112499516638359,300.0000694224362
0.5,0.0002720175466144399,300.0001087776066
0.6,0.000333266832267338,300.000157022336
0.7,0.0003947874239870262,300.0002141455657
0.7999999999999999,0.0004564757233378023,300.0002801416823
0.8999999999999999,0.0005183342767736712,300.00035504539034
0.9999999999999999,0.0005826631409151004,300.0004405155722
1.0999999999999999,0.0007195100701572547,300.000591030219
1.2,0.0013095632097828653,300.0015700258734
1.3,0.002273491378922303,300.0041219213615
1.4000000000000001,0.0033495989325595683,300.00836353918544
1.5000000000000002,0.0044755829270779635,300.01436439737995
1.6000000000000003,0.005629667901821576,300.0221647406478
1.7000000000000004,0.0068011733085377845,300.0317872643794
1.8000000000000005,0.00798437349808922,300.0432467476708
1.9000000000000006,0.009175901515039758,300.05655356013625
2.0000000000000004,0.010373617998077199,300.0717152703289
