V_DS,Avg_Center_Hole_Density_cm3,Background_Doping_cm3,Excess_Factor
0.02,1.100521809461828e+17,1e+16,11.00521809461828
0.1,4.7758634855130694e+17,1e+16,47.758634855130694
0.3,1.3403740267974303e+18,1e+16,134.03740267974302
0.5,1.5129794666101384e+18,1e+16,151.29794666101384
