MeshFactor,Nodes_Top,R_Top,Nodes_Edge,R_Edge
0.5,64,2.318372509896357,44,2.1977477489883017
1.0,186,2.5656351630170895,126,2.2469644399488997
2.0,671,2.71003473904034,451,2.261092701060104
4.0,2541,2.7897772477947824,1701,2.264816725481092
