V_drain (V),I_drain (A/cm),Max_T (K)
0.0,7.500713105408044e-26,300.0
0.1,2.8535943593636422e-11,300.00000000000256
0.2,5.104605640686067e-11,300.00000000000733
0.30000000000000004,7.173013507211067e-11,300.0000000000142
0.4,9.193837196028637e-11,300.0000000000232
0.5,1.1186412530824394e-10,300.0000000000343
0.6,1.3037072175665274e-10,300.0000000000458
0.7,1.6058893875153482e-10,300.0000000001119
0.7999999999999999,3.3592617099198316e-10,300.0000000002661
0.8999999999999999,6.29140263141195e-10,300.00000000049897
0.9999999999999999,8.648815258338508e-10,300.00000000077654
1.0999999999999999,1.0980998941729559e-09,300.0000000011104
1.2,1.3352156190096923e-09,300.00000000150305
1.3,1.575196009843566e-09,300.000000001955
1.4000000000000001,1.8171955060790418e-09,300.0000000024665
1.5000000000000002,2.0606824822031756e-09,300.0000000030377
1.6000000000000003,2.3053079832324844e-09,300.00000000366884
1.7000000000000004,2.550831572759067e-09,300.00000000436
1.8000000000000005,2.797080917386148e-09,300.00000000511125
1.9000000000000006,3.0439284676717474e-09,300.0000000060472
2.0000000000000004,3.2912772798112127e-09,300.00000000709184
