V_drain (V),I_drain (A/cm),Max_T (K)
0.0,-1.8187473820216493e-26,300.0
0.1,2.851412823509428e-11,300.0000000000026
0.2,5.095363537630778e-11,300.00000000000745
0.30000000000000004,7.155603862258667e-11,300.0000000000144
0.4,9.167953596038024e-11,300.00000000002336
0.5,1.1151840660113578e-10,300.00000000003445
0.6,1.2993131455924601e-10,300.00000000004604
0.7,1.597813518087439e-10,300.00000000011437
0.7999999999999999,2.9661360710805816e-10,300.0000000002678
0.8999999999999999,4.746025791818867e-10,300.0000000004897
0.9999999999999999,6.314798286348367e-10,300.0000000007628
1.0999999999999999,7.899635959794555e-10,300.0000000010934
1.2,9.512483056776718e-10,300.0000000014829
1.3,1.1144739611068794e-09,300.00000000193165
1.4000000000000001,1.279063981739994e-09,300.0000000024399
1.5000000000000002,1.4446595285824869e-09,300.0000000030078
1.6000000000000003,1.6110250661588197e-09,300.0000000036354
1.7000000000000004,1.7779982216245428e-09,300.00000000432294
1.8000000000000005,1.9454625566858656e-09,300.0000000050865
1.9000000000000006,2.1133318547401254e-09,300.00000000604604
2.0000000000000004,2.2815405628673926e-09,300.00000000708997
