SweepType,mu_p,kappa,R_Top,R_Edge,MaxT_Top,MaxT_Edge
mu_sweep,10.0,0.085,12.828150390865986,11.23479566912408,355.18939791163154,318.45940287868405
mu_sweep,50.0,0.085,2.5656351630170895,2.2469644399488997,470.1380519109882,375.8024150478479
mu_sweep,100.0,0.085,1.282820759499051,1.1234855362594998,553.4087024925991,429.09146515665526
kappa_sweep,50.0,0.05,2.565639612212419,2.2469690827578854,530.2142328026316,414.46682981648684
kappa_sweep,50.0,0.2,2.565631508290851,2.2469606261783235,397.4190312104993,336.72746138558387
